id,url,title,lead_paragraph,category,publish_datetime,source,thumbnail_url,label
article_2315,https://thanhnien.vn/banh-trang-phu-yen-tu-mon-luong-kho-den-di-san-van-hoa-phi-vat-the-185250621103228386.htm,Bánh tráng Phú Yên - Từ món lương khô đến di sản văn hóa phi vật thể,Bánh tráng không chỉ là món ăn dân dã thường ngày mà còn là đại sứ mang những giá trị văn hóa của miền đất và con người Phú Yên đến với bạn bè.,Other,2025-06-21T12:16:00+07:00,Thanh Niên,data/images/article_2315_image.png,non-clickbait
article_3161,https://www.24h.com.vn/giai-tri/ro-tin-don-lisa-blackpink-bi-mat-ket-hon-voi-frederic-arnault-c731a1675088.html,Rộ tin đồn Lisa BLACKPINK bí mật kết hôn với Frédéric Arnault,"Tin đồn này lan truyền rầm rộ nhất trên TikTok. Nhưng nguồn tin sơ sài, mơ hồ khiến fan tin rằng chuyện Lisa và Frédéric Arnault bí mật kết hôn chỉ là “dưa bở“.",Giải trí & Showbiz,2025-06-23T17:24:00+07:00,24h,data/images/article_3161_image.png,clickbait
article_2598,https://thanhnien.vn/ve-nong-bong-cua-co-gai-co-vong-eo-nho-nhat-hoa-hau-hoan-vu-viet-nam-185250620221520629.htm,Vẻ nóng bỏng của cô gái có vòng eo nhỏ nhất Hoa hậu Hoàn vũ Việt Nam,Hoàng Kim Ngân là cô gái thắng giải Thí sinh có gương mặt đẹp nhất tại Hoa hậu Hoàn vũ Việt Nam 2025. Cô cũng là ứng viên có vòng eo nhỏ nhất tại cuộc thi năm nay.,Other,2025-06-21T08:16:00+07:00,Thanh Niên,data/images/article_2598_image.png,clickbait
article_1643,https://baomoi.com/ai-co-dang-lam-thui-chot-nhieu-ky-nang-cua-cac-em-hoc-sinh-c52572978.epi,AI có đang làm thui chột nhiều kỹ năng của các em học sinh? - Tạp chí Kinh Tế Sài Gòn,"AI hay bất kỳ một công nghệ nào cũng chỉ nên đóng vai trò hỗ trợ, thúc đẩy hoạt động tư duy của con người chứ không nên thay thế các kỹ năng của con người. Đặc biệt đối với các học sinh phổ thông, các em cần tự mình rèn luyện để thành thạo các kỹ năng tư duy chứ không phải là lệ thuộc vào các công cụ AI để rồi các kỹ năng này bị thui chột.",Giáo dục & Học đường,2025-06-23T08:00:20.000Z,Báo Mới,data/images/article_1643_image.png,non-clickbait
article_2448,https://baomoi.com/bao-ve-tot-hon-quyen-loi-ich-hop-phap-cua-to-chuc-ca-nhan-tai-nuoc-ngoai-c52573862.epi,"Bảo vệ tốt hơn quyền, lợi ích hợp pháp của tổ chức, cá nhân tại nước ngoài - Công An TP.HCM","Ngày 23/6, tiếp tục Kỳ họp thứ 9, thảo luận tại tổ về dự án Luật tương trợ tư pháp về dân sự và Luật tương trợ tư pháp về hình sự, các đại biểu Đoàn ĐBQH TP.Hồ Chí Minh đều đánh giá đây là lần sửa đổi rất quan trọng để cải cách tư pháp trong bối cảnh hội nhập quốc tế ngày càng sâu rộng.",Chính trị & An ninh,2025-06-23T09:20:00.000Z,Báo Mới,data/images/article_2448_image.png,non-clickbait
article_0332,https://tuoitre.vn/ngoai-truong-iran-toi-nga-tham-van-lien-hop-quoc-hop-khan-20250623063014783.htm,"Ngoại trưởng Iran tới Nga 'tham vấn', Liên hợp quốc họp khẩn","Ngoại trưởng Iran Abbas Araghchi đến Matxcơva sau khi Mỹ tấn công các cơ sở hạt nhân Iran. Trong khi đó Nga, Trung Quốc, Pakistan trình Liên hợp quốc dự thảo nghị quyết lên án vụ Mỹ không kích Iran.",Quốc tế,2025-06-23T06:55:58+07:00,Tuổi Trẻ,data/images/article_0332_image.png,non-clickbait
article_1001,https://www.saostar.vn/am-nhac/jennie-dau-tranh-vi-album-ruby-202506202351001975.html,Jennie 'đấu tranh' vì album RUBY: 'Không phải sản phẩm để chiều lòng thị trường',Chia sẻ của Jennie nhận được sự quan tâm lớn từ người hâm mộ,Giải trí & Showbiz,2025-06-21T09:00:00.000+07:00,SaoStar,data/images/article_1001_image.png,clickbait
article_2988,https://baomoi.com/them-moi-de-doa-den-cac-ran-san-ho-tren-the-gioi-c52572099.epi,Thêm mối đe dọa đến các rạn san hô trên thế giới - Báo Văn hóa,"Theo nghiên cứu được công bố vào tháng trước trên tạp chí PLOS ONE, số lượng nhím biển ở Vịnh Hōnaunau (Hawaii) đã phát triển rất nhanh, gây ra mối đe dọa mới cho các rạn san hô sau những mối đe dọa vì ô nhiễm, cùng với đại dương ấm lên do biến đổi khí hậu và mực nước biển dâng cao.",Công nghệ & Khoa học,2025-06-23T03:32:00.000Z,Báo Mới,data/images/article_2988_image.png,non-clickbait
article_2680,https://www.24h.com.vn/thoi-trang/fan-phat-sot-voi-hinh-anh-sexy-cua-my-nhan-co-gan-400-trieu-nguoi-theo-doi-c78a1674541.html,Fan phát sốt với hình ảnh sexy của mỹ nhân có gần 400 triệu người theo dõi,MỸ - Kylie Jenner khiến fan không thể rời mắt khi mặc trang phục siêu gợi cảm để khoe vòng 1 và thân hình sexy nghẹt thở trong video quảng cáo mỹ phẩm.,Other,2025-06-22T20:00:00+07:00,24h,data/images/article_2680_image.png,clickbait
article_2051,https://thanhnien.vn/suc-hut-cua-nha-co-huynh-thuy-le-va-khu-du-lich-van-hoa-phuong-nam-185250620144956304.htm,Sức hút của nhà cổ Huỳnh Thủy Lê và Khu du lịch văn hóa Phương Nam,"Đến Đồng Tháp du lịch, ai cũng muốn ghé thăm nhà cổ Huỳnh Thủy Lê được dựng thành phim Người tình và trải nghiệm tại Khu du lịch văn hóa Phương Nam.",Du lịch & Ẩm thực,2025-06-20T15:02:00+07:00,Thanh Niên,data/images/article_2051_image.png,non-clickbait
article_2735,https://baomoi.com/tin-nong-cong-nghe-23-6-iphone-17-pro-duoc-trang-bi-buong-lam-mat-hoi-nuoc-c52572904.epi,Tin nóng công nghệ 23/6: iPhone 17 Pro được trang bị buồng làm mát hơi nước - VietTimes,"Trung Quốc ra mắt chứng minh thư Internet, iPhone 17 Pro được trang bị buồng làm mát hơi nước, Honor ra mắt điện thoại gập Magic V5 siêu mỏng... là tin KHCN nổi bật ngày 23/6.",Other,2025-06-23T08:00:52.000Z,Báo Mới,data/images/article_2735_image.png,non-clickbait
article_2536,https://vnexpress.net/cong-thuc-tinh-diem-xet-tuyen-cua-dai-hoc-ngan-hang-tp-hcm-4899841.html,Công thức tính điểm xét tuyển của Đại học Ngân hàng TP HCM,Trường Đại học Ngân hàng TP HCM (HUB) ngày 17/6 công bố công thức tính điểm xét tuyển theo 3 phương thức.,Other,2025-06-17T18:23:00+07:00,VnExpress,data/images/article_2536_image.png,non-clickbait
article_2855,https://thanhnien.vn/doan-van-hau-den-chia-vui-khong-nhan-hcd-cung-clb-cahn-18525062222163479.htm,"Đoàn Văn Hậu đến chia vui, không nhận HCĐ cùng CLB CAHN","CLB Công an Hà Nội (CAHN) đã giành chiến thắng 2-0 trước Hải Phòng, qua đó giành vị trí thứ 3 chung cuộc. Trên khán đài, hậu vệ Đoàn Văn Hậu cùng vợ Doãn Hải My đến chung vui cùng toàn đội.",Other,2025-06-22T22:37:00+07:00,Thanh Niên,data/images/article_2855_image.png,non-clickbait
article_2462,https://baomoi.com/noi-dan-mom-thoi-mot-csgt-o-dak-lak-bi-xem-xet-dieu-chuyen-khoi-luc-luong-c52573540.epi,"Nói dân 'mồm thối', một CSGT ở Đắk Lắk bị xem xét điều chuyển khỏi lực lượng - Báo VTC News","Khi người dân nghi ngờ máy kiểm tra nồng độ cồn không chính xác, một cảnh sát giao thông thuộc Phòng CSGT tỉnh Đắk Lắk đã nói người này 'mồm thối'.",Other,2025-06-23T08:59:00.000Z,Báo Mới,data/images/article_2462_image.png,non-clickbait
article_1176,https://tuoitre.vn/robot-tri-lieu-tam-ly-co-thau-hieu-hay-chi-biet-lang-nghe-20250618102426124.htm,Robot trị liệu tâm lý: Có thấu hiểu hay chỉ biết lắng nghe?,"Robot ứng dụng trí tuệ nhân tạo đang xuất hiện ngày càng nhiều trong lĩnh vực trị liệu tâm lý. Nhưng liệu một cỗ máy có thể thực sự hiểu được con người, hay chỉ đơn thuần là phản hồi theo lập trình?",Công nghệ & Khoa học,2025-06-19T19:19:00+07:00,Tuổi Trẻ,data/images/article_1176_image.png,non-clickbait
article_1686,https://baomoi.com/tp-ho-chi-minh-cong-bo-diem-chuan-vao-lop-10-chuyen-tich-hop-nam-2025-c52571963.epi,"TP Hồ Chí Minh công bố điểm chuẩn vào lớp 10 chuyên, tích hợp năm 2025 - Báo Tin Tức TTXVN","Ngày 23/6, Sở Giáo dục và Đào tạo TP Hồ Chí Minh đã công bố điểm chuẩn vào lớp 10 chuyên và lớp 10 tích hợp năm học 2025 - 2026.",Other,2025-06-23T05:43:00.000Z,Báo Mới,data/images/article_1686_image.png,non-clickbait
article_0411,https://vietnamnet.vn/tai-xe-o-to-su-dung-ma-tuy-gay-tai-nan-lien-hoan-o-thai-nguyen-2413930.html,"Tài xế gây tai nạn liên hoàn rồi bất tỉnh, trên tay vẫn cầm kim tiêm","Sử dụng ma tuý khi chở con gái, tài xế ở Thái Nguyên đã điều khiển ô tô đâm hàng loạt xe khác trên đường.",Tin tức tổng hợp,"Chủ Nhật, 22/06/2025 - 22:33",VietNamNet,data/images/article_0411_image.png,non-clickbait
article_0318,https://vnexpress.net/nguy-co-neu-israel-tan-cong-phao-dai-hat-nhan-iran-4903956.html,Nguy cơ nếu Israel tấn công 'pháo đài hạt nhân' Iran,"Cuộc tấn công vào ""pháo đài hạt nhân"" Fordow Iran có thể không gây thảm họa như Chernobyl, nhưng vẫn tiềm ẩn nhiều rủi ro với môi trường và sức khỏe con người.",Quốc tế,2025-06-21T19:00:00+07:00,VnExpress,data/images/article_0318_image.png,non-clickbait
article_1000,https://www.saostar.vn/am-nhac/mot-nam-ca-si-bi-cam-song-toan-bo-show-dien-bi-huy-den-het-nam-202506211105240284.html,"Nam ca sĩ bị cấm sóng, toàn bộ show diễn bị hủy đến hết năm",Thông tin khiến người hâm mộ của nam ca sĩ vô cùng hoang mang,Giải trí & Showbiz,2025-06-21T11:16:56.060+07:00,SaoStar,data/images/article_1000_image.png,clickbait
article_2100,https://vietnamnet.vn/thu-hoi-toan-bo-siro-an-ngon-hai-be-cua-tiktoker-gia-dinh-hai-sen-2413469.html,Thu hồi toàn bộ Siro ăn ngon Hải Bé là hàng giả của TikToker Gia đình Hải Sen,"Cục An toàn thực phẩm (Bộ Y tế) đề nghị Sở Y tế các địa phương rà soát, phối hợp thu hồi toàn bộ sản phẩm thực phẩm bảo vệ sức khoẻ Siro ăn ngon Hải Bé là hàng giả đang còn trên thị trường.",Sức khỏe & Đời sống,2025-06-20T18:40:00+07:00,VietNamNet,data/images/article_2100_image.png,non-clickbait
article_0010,https://vnexpress.net/quoc-hoi-buoc-vao-tuan-lam-viec-cuoi-cung-cua-ky-hop-dai-ky-luc-4904812.html,Quốc hội bước vào tuần làm việc cuối cùng của kỳ họp dài kỷ lục,"Tuần cuối kỳ họp 9 (23-27/6), Quốc hội sẽ biểu quyết thông qua nhiều luật, nghị quyết quan trọng, trong đó có sửa đổi Bộ luật Hình sự, Luật Xử lý vi phạm hành chính và nghị quyết về trung tâm tài chính quốc tế.",Tin tức tổng hợp,2025-06-23T05:00:00+07:00,VnExpress,data/images/article_0010_image.png,non-clickbait
article_1596,https://www.24h.com.vn/bong-da/truc-tiep-bong-da-cong-an-ha-noi-hai-phong-co-hoi-tu-quyet-top-3-v-league-c48a1674789.html,Trực tiếp bóng đá Công an Hà Nội - Hải Phòng: Chiến thắng ấn định top 3 (Hết giờ),"(vòng 26 V-League) CAHN bảo vệ thành công chiến thắng 2-0 trước Hải Phòng. Nhờ vậy, đội bóng ngành Công an kết thúc mùa giải với vị trí thứ ba.",Thể thao,2025-06-22T13:24:00+07:00,24h,data/images/article_1596_image.png,non-clickbait
article_0891,https://tuoitre.vn/khoi-cong-2-to-hop-khach-san-can-ho-cao-cap-o-bai-sau-vung-tau-20250621163249104.htm,"Khởi công 2 tổ hợp khách sạn, căn hộ cao cấp ở Bãi Sau, Vũng Tàu","Hai tổ hợp khách sạn, căn hộ cao cấp nằm trên đường Thùy Vân, Bãi Sau kỳ vọng sẽ làm thay đổi diện mạo, phát triển du lịch Vũng Tàu. Trị giá của hai dự án lên đến hơn 10.000 tỉ đồng.",Kinh doanh & Kinh tế,2025-06-21T16:52:32+07:00,Tuổi Trẻ,data/images/article_0891_image.png,non-clickbait
article_0678,https://vietnamnet.vn/kon-tum-se-xu-ly-can-bo-cap-ma-vung-trong-sam-ngoc-linh-trai-quy-dinh-2413860.html,Kon Tum xử lý cán bộ cấp mã vùng trồng sâm Ngọc Linh trái quy định,"Do cấp mã vùng trồng sâm Ngọc Linh cho Công ty Cổ phần rượu Sâm Ngọc Linh Kon Tum trái quy định, Phó chủ tịch UBND tỉnh Kon Tum yêu cầu xem xét, để xử lý trách nhiệm cán bộ.",Kinh doanh & Kinh tế,"Chủ Nhật, 22/06/2025 - 16:04",VietNamNet,data/images/article_0678_image.png,non-clickbait
article_1404,https://vnexpress.net/suy-dinh-duong-khi-nam-vien-4904568.html,Suy dinh dưỡng khi nằm viện,"Các bệnh viện ghi nhận 50-70% bệnh nhân bị suy dinh dưỡng trong thời gian điều trị nội trú, làm tăng nguy cơ tử vong, kéo dài thời gian hồi phục.",Other,2025-06-22T10:00:00+07:00,VnExpress,data/images/article_1404_image.png,non-clickbait
article_0718,https://www.saostar.vn/vong-quanh-the-gioi/chuyen-tien-cho-vo-ao-nguoi-dan-ong-bi-chan-kip-thoi-202506201740269047.html,"Người đàn ông đến ngân hàng chuyển 22 triệu đồng cho vợ tương lai, nhân viên liền báo cảnh sát",Người đàn ông phản ứng vô cùng gay gắt khi làm viêc với phía cảnh sát.,Quốc tế,2025-06-21T07:00:00.000+07:00,SaoStar,data/images/article_0718_image.png,clickbait
article_3612,https://baomoi.com/van-hanh-thu-nghiem-trung-tam-phuc-vu-hanh-chinh-cong-phuong-to-hieu-c52575230.epi,Vận hành thử nghiệm Trung tâm Phục vụ hành chính công phường Tô Hiệu - Báo Sơn La,"Ngày 23/6, thành phố Sơn La đã tổ chức vận hành thử nghiệm Trung tâm phục vụ hành chính công phường Tô Hiệu.",Other,2025-06-23T10:41:00.000Z,Báo Mới,data/images/article_3612_image.png,non-clickbait
article_0068,https://tuoitre.vn/can-tao-nhieu-khoang-trong-cho-xe-hoi-20250623081111639.htm,Cần tạo nhiều khoảng trống cho xe hơi,Thời gian gần đây xuất hiện tình trạng đậu xe hơi tràn lan trên nhiều tuyến đường gây cản trở giao thông và bộ hành ở TP.HCM khiến người dân rất bức xúc. Nhiều người gọi đó là hiện tượng biến đường phố thành gara nhà mình.,Other,2025-06-23T12:48:00+07:00,Tuổi Trẻ,data/images/article_0068_image.png,non-clickbait
article_0643,https://thanhnien.vn/canh-bac-cua-tong-thong-trump-khi-tan-cong-iran-185250622153310373.htm,Canh bạc của Tổng thống Trump khi tấn công Iran,"Quyết định tấn công Iran của Tổng thống Mỹ Donald Trump khiến Trung Đông tiếp tục bất ổn, khi mọi sự chú ý hiện đổ dồn vào động thái tiếp theo của Iran và đây được cho là canh bạc lớn với ông chủ Nhà Trắng.",Quốc tế,2025-06-22T16:20:00+07:00,Thanh Niên,data/images/article_0643_image.png,clickbait
article_2619,https://vietnamnet.vn/phat-tu-nguoi-dan-ong-gay-tai-nan-khien-6-nguoi-chet-o-nghe-an-2413180.html,Tài xế gây tai nạn khiến 6 người ở Nghệ An tử vong: ‘Tôi ám ảnh suốt thời gian dài’,"Người đàn ông điều khiển ô tô tải lao vào nhà khiến 6 người trong 1 gia đình tử vong. Nam tài xế này khai, quá trình đánh lái để tránh ngôi nhà bên đường, bản thân mất hết lý trí, hoảng sợ nên gây ra vụ tai nạn.",Chính trị & An ninh,2025-06-19T20:10:00+07:00,VietNamNet,data/images/article_2619_image.png,non-clickbait
article_1293,https://www.saostar.vn/dien-anh/lam-giang-tien-lam-gia-so-lieu-202506180846361488.html,Lâm Giang Tiên làm giả số liệu?,Số liệu của Lâm Giang Tiên khiến khán giả phải nghi ngờ,Giải trí & Showbiz,2025-06-18T15:48:51.822+07:00,SaoStar,data/images/article_1293_image.png,clickbait
article_1035,https://www.24h.com.vn/kinh-doanh/bo-viec-thu-nhap-hang-tram-trieu-dong-de-khoi-nghiep-co-gai-co-cai-ket-bat-ngo-c161a1660888.html,"Bỏ việc thu nhập hàng trăm triệu đồng để khởi nghiệp, cô gái có cái kết bất ngờ","“Tròn 1 năm rời công sở lương trăm triệu, thu nhập tháng này của tôi là 13,3 triệu đồng…”",Kinh doanh & Kinh tế,2025-05-02T20:34:00+07:00,24h,data/images/article_1035_image.png,clickbait
article_0180,https://www.24h.com.vn/tin-tuc-trong-ngay/san-bay-vinh-dong-cua-6-thang-c46a1675039.html,Sân bay Vinh đóng cửa 6 tháng,"Thời gian đóng cửa Cảng hàng không Vinh để sửa chữa đường băng, đường lăn từ 0 giờ ngày 1-7 đến hết ngày 31-12-2025.",Tin tức tổng hợp,2025-06-23T12:53:00+07:00,24h,data/images/article_0180_image.png,non-clickbait
article_3050,https://vnexpress.net/yamaha-khang-dinh-dna-the-thao-voi-vnexpress-marathon-4904011.html,'Yamaha khẳng định DNA thể thao với VnExpress Marathon',"Đồng hành VnExpress Marathon, hãng xe Nhật lan tỏa tinh thần thể thao, khẳng định cam kết môi trường thông qua nhiều hoạt động cùng 12.000 runner, theo lãnh đạo đơn vị.",Other,2025-06-20T10:00:00+07:00,VnExpress,data/images/article_3050_image.png,non-clickbait
article_1458,https://thanhnien.vn/nhung-sai-lam-khi-tam-khong-phai-ai-cung-biet-185250618164858867.htm,Những sai lầm khi tắm không phải ai cũng biết,"Tắm là một thói quen quen thuộc hằng ngày, tưởng chừng như đơn giản và vô hại. Tuy nhiên, theo các chuyên gia da liễu, mắc phải những sai lầm phổ biến khi tắm bạn có thể đang vô tình làm tổn thương làn da của mình mà không hề hay biết.",Sức khỏe & Đời sống,2025-06-18T19:41:00+07:00,Thanh Niên,data/images/article_1458_image.png,clickbait
article_0250,https://baomoi.com/bong-da/bang-xep-hang-laliga-giai-dau-2.epi,Bảng xếp hạng LaLiga 2024/2025 mới nhất,"Bảng xếp hạng (BXH) bóng đá LaLiga hôm nay: Barcelona, Real Madrid, Atlético Madrid, Athletic Bilbao, Villarreal...",Thể thao,,Báo Mới,data/images/article_0250_image.png,non-clickbait
article_3635,https://baomoi.com/dien-mao-phuong-ha-long-trung-tam-cua-tinh-quang-ninh-c52574343.epi,"Diện mạo phường Hạ Long, trung tâm của tỉnh Quảng Ninh - Báo Tiền Phong","Sau khi hợp nhất, phường Hạ Long tiếp tục kế thừa giá trị của TP Hạ Long, là trung tâm kinh tế, chính trị, văn hóa, thương mại, dịch vụ của tỉnh và là nơi tập trung các cơ quan chính quyền của tỉnh Quảng Ninh.",Other,2025-06-23T10:11:00.000Z,Báo Mới,data/images/article_3635_image.png,non-clickbait
article_1289,https://www.saostar.vn/dien-anh/5-dien-vien-hot-nhat-cbiz-2025-trieu-le-dinh-va-tieu-chien-sit-sao-202506181826543975.html,5 diễn viên hot nhất Cbiz 2025: Triệu Lệ Dĩnh và Tiêu Chiến cạnh tranh sít sao,"Top 5 sao Hoa ngữ thống trị Cbiz 2025: Tiêu Chiến vượt mặt Triệu Lệ Dĩnh, Bạch Lộc đột phá ngoạn mục từ nữ phụ lên đại lưu lượng chỉ sau 2 năm",Giải trí & Showbiz,2025-06-18T19:00:00.000+07:00,SaoStar,data/images/article_1289_image.png,clickbait
