id,url,title,lead_paragraph,category,publish_datetime,source,thumbnail_url,label
article_3653,https://www.24h.com.vn/media-24h/dieu-chinh-can-cuoc-sau-sap-xep-dia-gioi-hanh-chinh-c762a1674290.html,Điều chỉnh Căn cước sau sắp xếp địa giới hành chính,"Việc Quốc hội thông qua Nghị quyết về sắp xếp đơn vị hành chính cấp tỉnh năm 2025 đã khiến nhiều người băn khoăn về việc điều chỉnh thông tin trên Căn cước. Tuy nhiên, người dân hoàn toàn có thể yên tâm sử dụng các giấy tờ đã được cấp cho đến khi hết thời hạn.",Giải trí & Showbiz,2025-06-20T11:44:00+07:00,24h,data/images/article_3653_image.png,non-clickbait
article_2236,https://vnexpress.net/10-000-lo-nuoc-hoa-chanel-bvlgari-ysl-gia-bi-phat-hien-4904610.html,"7 người bị bắt vì liên quan 10.000 lọ nước hoa Chanel, Bvlgari, Ysl giả","TP HCMVợ chồng Lư Hưng Phát, 30 tuổi, cùng đồng phạm bị cáo buộc nhập nước hoa giả nhãn hiệu Chanel, Bvlgari, Ysl và rao bán trên mạng xã hội.",Other,2025-06-21T23:07:00+07:00,VnExpress,data/images/article_2236_image.png,non-clickbait
article_0042,https://vnexpress.net/ha-noi-su-dung-loat-xe-ve-sinh-moi-truong-moi-4903980.html,Hà Nội sử dụng loạt xe vệ sinh môi trường mới,"Nhằm tạo đột phá trong công tác bảo vệ môi trường đô thị, Hà Nội đưa vào hàng loạt xe thu gom, vận chuyển rác thải và vệ sinh môi trường hiện đại.",Tin tức tổng hợp,2025-06-20T09:27:00+07:00,VnExpress,data/images/article_0042_image.png,non-clickbait
article_2917,https://www.saostar.vn/du-lich-kham-pha/nu-you-tuber-han-quoc-kham-pha-an-do-theo-cach-khong-giong-ai-202506181743394348.html,"Nữ YouTuber Hàn Quốc khám phá Ấn Độ theo cách khác lạ, doanh thu khiến ai cũng trầm trồ",Nữ YouTuber người Hàn - Potato Turtle đang trở thành hiện tượng mạng qua các vlog du lịch tại Ấn Độ với những tình huống 'cười ra nước mắt'.,Du lịch & Ẩm thực,2025-06-18T17:43:40.373+07:00,SaoStar,data/images/article_2917_image.png,clickbait
article_3361,https://tuoitre.vn/loai-trai-cay-cuc-tot-cho-phu-nu-sau-man-kinh-20250611185103456.htm,Loại trái cây cực tốt cho phụ nữ sau mãn kinh,"Một loại trái cây rất phổ biến giúp phụ nữ tránh các căn bệnh sau mãn kinh, đặc biệt là hội chứng chuyển hóa và bệnh tim mạch.",Sức khỏe & Đời sống,2025-06-14T10:58:58+07:00,Tuổi Trẻ,data/images/article_3361_image.png,clickbait
article_2707,https://baomoi.com/iphone-17-pro-max-co-them-xac-nhan-tinh-nang-cao-cap-c52573204.epi,iPhone 17 Pro Max có thêm xác nhận tính năng cao cấp - Báo VietnamNet,Các mẫu iPhone 17 Pro và iPhone 17 Pro Max sắp ra mắt được cho là sẽ có thêm một số nâng cấp đặc biệt. Một tin tức rò rỉ mới vừa xác nhận điều này.,Other,2025-06-23T08:28:00.000Z,Báo Mới,data/images/article_2707_image.png,non-clickbait
article_0861,https://vnexpress.net/honda-thu-nghiem-thanh-cong-ten-lua-tai-su-dung-4903497.html,Honda thử nghiệm thành công tên lửa tái sử dụng,Nhật BảnNguyên mẫu tên lửa tái sử dụng bay lên độ cao gần 271 m tại cơ sở của Honda ở thị trấn Taiki vào ngày 17/6.,Công nghệ & Khoa học,2025-06-19T20:20:00+07:00,VnExpress,data/images/article_0861_image.png,non-clickbait
article_3372,https://thanhnien.vn/crossover-co-trung-dai-ly-can-rang-chiu-lo-ford-territory-lan-dau-vuot-mazda-cx-5-185250620162336261.htm,"Crossover cỡ trung: Đại lý 'cắn răng' chịu lỗ, Ford Territory lần đầu vượt Mazda CX-5","Động thái giảm giá ""tất tay"" để kích cầu của hãng xe và đại lý giúp Ford Territory đạt doanh số tháng 5.2025 gần 1.500 xe, lần đầu vượt mặt đối thủ Mazda CX-5 trong cuộc đua ở phân khúc SUV, crossover cỡ trung tại Việt Nam.",Other,2025-06-23T15:48:00+07:00,Thanh Niên,data/images/article_3372_image.png,clickbait
article_3735,https://www.24h.com.vn/am-thuc/hom-nay-an-gi-ba-noi-tro-gen-z-bay-23-mam-com-gia-dinh-dep-nhu-tranh-ve-khien-chong-cu-tan-lam-la-voi-ve-nha-c460a1673721.html,Hôm nay ăn gì? Bà nội trợ Gen Z bày 23+ mâm cơm gia đình 'đẹp như tranh vẽ' khiến chồng cứ tan làm là vội về nhà,"Nấu cơm mỗi ngày là bài toán không hề dễ với hàng triệu bà nội trợ hiện đại: vừa ngon, vừa nhanh, vừa đủ chất. Trong bài viết này, chúng tôi gợi ý 23+ mâm cơm gia đình đơn giản nhưng hấp dẫn, dễ nấu, dễ ăn, chắc chắn khiến cả nhà luôn muốn “về nhà ăn cơm”.",Du lịch & Ẩm thực,2025-06-18T12:00:00+07:00,24h,data/images/article_3735_image.png,clickbait
article_0671,https://vietnamnet.vn/nguoi-dan-o-ha-noi-chen-chan-di-doi-xe-may-xang-lay-xe-may-dien-2413639.html,Người dân ở Hà Nội chen chân đi đổi xe máy xăng lấy xe máy điện,"“Nay tôi đem chiếc xe máy tay ga mua từ năm 2010 đến đây đổi lấy một chiếc xe máy điện để vợ đi làm hàng ngày”, anh Nguyễn Hoàng Cương ở Hà Đông chia sẻ với VietNamNet.",Kinh doanh & Kinh tế,2025-06-21T15:24:00+07:00,VietNamNet,data/images/article_0671_image.png,non-clickbait
article_1089,https://baomoi.com/ra-mat-mv-nghe-thuat-doc-dao-nghi-thuc-c52571564.epi,Ra mắt MV nghệ thuật độc đáo 'Nghi thức' - Chuyên trang Gia Đình & Xã Hội - Báo Sức khỏe & Đời sống,"MV 'Nghi thức' tôn vinh giá trị văn hóa truyền thống Việt Nam qua những nghi lễ trang nghiêm, sống động và gần gũi.",Other,2025-06-23T05:05:00.000Z,Báo Mới,data/images/article_1089_image.png,non-clickbait
article_2564,https://thanhnien.vn/hong-nhung-khi-duoc-chan-doan-mac-ung-thu-toi-nghi-den-2-con-dau-tien-185250623114428547.htm,"Hồng Nhung: Khi được chẩn đoán mắc ung thư, tôi nghĩ đến 2 con đầu tiên","Trong chương trình 'Cuộc hẹn cuối tuần' phát trên VTV3, ca sĩ Hồng Nhung có những phút trải lòng về quãng thời gian chống chọi với biến cố sức khỏe.",Other,2025-06-23T12:06:00+07:00,Thanh Niên,data/images/article_2564_image.png,non-clickbait
article_0585,https://vnexpress.net/vng-doi-ten-muc-tieu-doanh-thu-vuot-10-700-ty-dong-4904531.html,"VNG đổi tên, mục tiêu doanh thu vượt 10.700 tỷ đồng","VNG đặt mục tiêu doanh thu cao nhất từ trước đến nay tại Đại hội đồng cổ đông thường niên, sáng 21/6.",Kinh doanh & Kinh tế,2025-06-21T15:45:00+07:00,VnExpress,data/images/article_0585_image.png,non-clickbait
article_1882,https://www.saostar.vn/song-khoe/3-thuc-pham-giup-giai-nhiet-tu-nhien-ngu-sau-va-thu-gian-202506041406207707.html,"3 thực phẩm giúp 'giải nhiệt' tự nhiên, ngủ sâu và thư giãn tinh thần trong mùa hè","Ngày hè oi bức, không khí nóng nực không chỉ khiến cơ thể mệt mỏi mà còn ảnh hưởng đáng kể đến chất lượng giấc ngủ và trạng thái tinh thần.",Sức khỏe & Đời sống,2025-06-04T14:24:39.468+07:00,SaoStar,data/images/article_1882_image.png,clickbait
article_3516,https://tuoitre.vn/20-nhom-doi-tuong-duoc-cap-the-bao-hiem-y-te-mien-phi-tu-ngay-1-7-20250621141135706.htm,20 nhóm đối tượng được cấp thẻ bảo hiểm y tế miễn phí từ ngày 1-7,"Theo Luật Bảo hiểm y tế sửa đổi có hiệu lực từ 1-7, ngoài 16 nhóm đối tượng được ngân sách nhà nước đóng bảo hiểm y tế sẽ bổ sung thêm 4 nhóm đối tượng, nâng tổng số đối tượng được cấp thẻ bảo hiểm miễn phí lên 20.",Other,2025-06-23T08:07:38+07:00,Tuổi Trẻ,data/images/article_3516_image.png,non-clickbait
article_2035,https://thanhnien.vn/du-lich/choi-gi-an-dau-di-the-nao.htm,"Chơi gì, ăn đâu, đi thế nào?","Hướng dẫn và chia sẻ các địa điểm du lịch, ăn uống ẩm thực, vui chơi giải trí nổi tiếng. Kinh nghiệm khám phá du lịch tại Việt Nam và thế giới",Chính trị & An ninh,,Thanh Niên,data/images/article_2035_image.png,clickbait
article_1304,https://www.24h.com.vn/thi-truong-tieu-dung/diem-ban-cua-hap-tren-via-he-tp-hcm-co-gi-dac-biet-ma-khach-chen-kin-moi-chieu-c52a1674580.html,Điểm bán cua hấp trên vỉa hè TP HCM có gì đặc biệt mà khách chen kín mỗi chiều?,"Trung bình một ngày, quầy cua hấp của anh Đảm ở huyện Bình Chánh, TP HCM bán vài chục ký và chỉ bán vỏn vẹn trong 1 giờ, có ngày chỉ 40 phút.",Kinh doanh & Kinh tế,2025-06-22T16:51:44+07:00,24h,data/images/article_1304_image.png,clickbait
article_2256,https://vnexpress.net/danh-ghen-ep-viet-giay-no-khien-nan-nhan-tu-tu-4903769.html,"Đánh ghen, ép viết giấy nợ khiến nạn nhân tự tử","Hà NộiBiết chồng quan hệ tình cảm với người khác, Phan Thị Thu rủ chồng và một số người dàn cảnh đánh ghen, ép viết giấy nợ 200 triệu đồng khiến nạn nhân sau đó treo cổ tự vẫn.",Other,2025-06-19T18:23:00+07:00,VnExpress,data/images/article_2256_image.png,clickbait
article_1111,https://vnexpress.net/khoi-cong-du-an-nghi-duong-44-000-ty-dong-duoi-chan-deo-hai-van-4904731.html,Khởi công dự án nghỉ dưỡng 44.000 tỷ đồng dưới chân đèo Hải Vân,"Đà NẵngPhó thủ tướng Nguyễn Hoà Bình cùng nhiều quan chức trung ương, địa phương dự lễ khởi công dự án Khu phức hợp và đô thị nghỉ dưỡng Làng Vân, ngày 22/6.",Other,2025-06-22T16:06:00+07:00,VnExpress,data/images/article_1111_image.png,non-clickbait
article_2742,https://baomoi.com/them-mot-tap-chi-cua-viet-nam-ket-noi-voi-co-so-du-lieu-hoc-thuat-danh-gia-the-gioi-c52573769.epi,Thêm một tạp chí của Việt Nam kết nối với cơ sở dữ liệu học thuật danh giá thế giới - Báo Giáo Dục & Thời Đại,"Tạp chí Nghiên cứu Khoa học - Trường Đại học Trưng Vương vừa được kết nối với ROAD (Directory of Open Access Scholarly Resources) và Google Scholar, hai nền tảng học thuật mở uy tín toàn cầu.",Công nghệ & Khoa học,2025-06-23T07:05:00.000Z,Báo Mới,data/images/article_2742_image.png,non-clickbait
article_1492,https://thanhnien.vn/chuyen-tham-kin-tai-sao-khi-cai-nhau-cap-doi-lai-lam-lanh-bang-tinh-duc-185250413083115847.htm,"Chuyện thầm kín: Tại sao khi cãi nhau, cặp đôi lại làm lành bằng tình dục?","Sau khi cãi nhau, một số cặp đôi chọn cách im lặng, một số lại trò chuyện để giải quyết vấn đề, nhưng không ít cặp đôi sử dụng tình dục như một phương thức hòa giải mạnh mẽ.",Other,2025-04-13T13:06:00+07:00,Thanh Niên,data/images/article_1492_image.png,clickbait
article_2341,https://vietnamnet.vn/nghe-bao-la-nghe-dan-than-doi-hoi-nhung-con-nguoi-dac-biet-2414112.html,"Nghề báo là nghề dấn thân, đòi hỏi những con người đặc biệt","Sức mạnh của báo chí là rất lớn, nhưng đi cùng với đó là trách nhiệm rất cao, bởi nếu được sử dụng đúng cách, nó sẽ mang lại lợi ích to lớn cho xã hội, còn nếu lạm dụng hoặc thiếu chuẩn mực, hậu quả có thể vô cùng nghiêm trọng.",Công nghệ & Khoa học,2025-06-23T12:24:00+07:00,VietNamNet,data/images/article_2341_image.png,non-clickbait
article_1935,https://baomoi.com/bui-tien-dung-tuyen-chien-cong-phuong-truoc-tran-play-off-gianh-ve-du-v-league-c52572452.epi,Bùi Tiến Dũng 'tuyên chiến' Công Phượng trước trận play-off giành vé dự V-League - Báo VietnamPlus,Trận play-off tranh suất tham dự V-League mùa giải sau giữa SHB Đà Nẵng và Trường Tươi Bình Phước sẽ rất đáng xem khi thủ môn Bùi Tiến Dũng có cơ hội đối đầu đồng đội cũ Nguyễn Công Phượng.,Thể thao,2025-06-23T07:05:00.000Z,Báo Mới,data/images/article_1935_image.png,clickbait
article_3368,https://thanhnien.vn/thoi-quen-pha-xe-may-da-so-nguoi-viet-lam-moi-ngay-185250617170245172.htm,"Thói quen 'phá' xe máy, đa số người Việt làm mỗi ngày","Nhiều người có thói quen đề nổ xe máy và di chuyển ngay lập tức nhưng không biết rằng hành động này ""bào mòn"" các chi tiết kim loại bên trong động cơ, dẫn đến hư hỏng không đáng có.",Other,2025-06-20T12:29:00+07:00,Thanh Niên,data/images/article_3368_image.png,clickbait
article_0474,https://www.24h.com.vn/tin-tuc-quoc-te/iran-lan-dau-phong-ten-lua-da-dau-dan-tan-cong-israel-c415a1674914.html,Iran lần đầu phóng tên lửa đa đầu đạn tấn công Israel,"Lực lượng Vệ binh Cách mạng Hồi giáo (IRGC) tuyên bố, Iran lần đầu sử dụng tên lửa đạn đạo Kheibarshekan mang nhiều đầu đạn nhắm vào các mục tiêu ở Israel trong đợt tấn công hôm 22/6.",Quốc tế,2025-06-23T07:45:00+07:00,24h,data/images/article_0474_image.png,non-clickbait
article_3624,https://baomoi.com/hai-phong-hoan-thanh-kpi-xay-dung-nong-thon-moi-truoc-gio-sap-nhap-c52574498.epi,Hải Phòng hoàn thành 'KPI' xây dựng nông thôn mới trước giờ sáp nhập - Tạp chí VnEconomy,"Tháng 6/2025, 100% số huyện trên địa bàn thành phố đạt chuẩn huyện nông thôn mới; 100% số xã đạt chuẩn nông thôn mới nâng cao; 45/77 xã đạt chuẩn nông thôn mới kiểu mẫu...",Other,2025-06-23T10:28:07.000Z,Báo Mới,data/images/article_3624_image.png,non-clickbait
article_3627,https://baomoi.com/500-000-ty-dong-da-san-sang-bom-vao-cac-du-an-ha-tang-c52574467.epi,500.000 tỷ đồng đã sẵn sàng bơm vào các dự án hạ tầng - Tạp chí Nhà Quản Trị - TheLEADER,"Chính phủ thúc tiến độ xây dựng hạ tầng, hệ thống ngân hàng sẵn sàng bơm 500.000 tỷ đồng cho các dự án trọng điểm.",Other,2025-06-23T10:22:00.000Z,Báo Mới,data/images/article_3627_image.png,non-clickbait
article_1330,https://baomoi.com/khoi-sac-qua-3-nam-thuc-hien-nghi-quyet-13-cua-tinh-uy-c52573014.epi,Khởi sắc qua 3 năm thực hiện Nghị quyết 13 của Tỉnh ủy - Báo Ấp Bắc,"Qua 3 năm thực hiện Nghị quyết 13 của Tỉnh ủy Tiền Giang về 'Lãnh đạo xây dựng và phát triển huyện Tân Phú Đông đến năm 2025 và định hướng đến năm 2030', kinh tế - xã hội của địa phương đã đạt được nhiều kết quả nổi bật.",Kinh doanh & Kinh tế,2025-06-23T08:02:00.000Z,Báo Mới,data/images/article_1330_image.png,non-clickbait
article_1078,https://baomoi.com/ha-noi-dinh-bai-an-quan-cay-ao-ca-nhan-bang-xep-hang-di-tich-cap-thanh-pho-c52572079.epi,Hà Nội: Đình Bái Ân – Quán Cây – Ao Cá nhận Bằng xếp hạng di tích cấp thành phố - Báo Kinh tế & Đô thị,"Ngày 23/6, phường Nghĩa Đô, quận Cầu Giấy đã tổ chức Lễ đón nhận Bằng xếp hạng di tích cấp Thành phố: Đình Bái Ân – Quán Cây – Ao Cá, phường Nghĩa Đô, quận Cầu Giấy.",Văn hóa & Nghệ thuật,2025-06-23T05:57:00.000Z,Báo Mới,data/images/article_1078_image.png,non-clickbait
article_2485,https://vnexpress.net/nam-sinh-gianh-cu-dup-thu-khoa-lop-10-chuyen-toan-4905013.html,Nam sinh giành 'cú đúp' thủ khoa lớp 10 chuyên Toán,"Hà NộiBùi Nhật Minh là thủ khoa lớp 10 Toán của hai trường chuyên nổi tiếng, với điểm bài thi này toàn 9-10.",Other,2025-06-23T13:06:00+07:00,VnExpress,data/images/article_2485_image.png,non-clickbait
article_1938,https://baomoi.com/pogba-tai-xuat-san-co-thi-dau-dinh-cao-c52572471.epi,"Pogba tái xuất sân cỏ, thi đấu đỉnh cao - Báo Giáo Dục & Thời Đại",Tiền vệ Paul Pogba trở lại bóng đá đỉnh cao sau thời gian dài bị cấm thi đấu liên quan tới cáo buộc xét nghiệm có doping trong máu …,Thể thao,2025-06-23T06:48:00.000Z,Báo Mới,data/images/article_1938_image.png,non-clickbait
article_1759,https://vnexpress.net/kane-toa-sang-giup-bayern-gianh-ve-som-4904430.html,Kane tỏa sáng giúp Bayern giành vé sớm,MỹTrận thắng Boca 2-1 ở lượt hai giúp thầy trò HLV Vincent Kompany giành vé vào vòng 1/8 Club World Cup 2025 sớm một lượt đấu.,Thể thao,2025-06-21T10:42:00+07:00,VnExpress,data/images/article_1759_image.png,non-clickbait
article_3577,https://www.24h.com.vn/o-to/top-xe-sedan-hang-b-hut-khach-bac-nhat-hien-nay-c747a1672267.html,Top xe sedan hạng B hút khách bậc nhất hiện nay,"Những mẫu sedan hạng B nổi bật đến từ những thương hiệu quen thuộc tại Việt Nam, đi kèm mức giá hợp lý, dễ tiếp cận.",Xe & Vận tải,2025-06-13T09:00:00+07:00,24h,data/images/article_3577_image.png,clickbait
article_1056,https://baomoi.com/gia-lai-100-chien-si-nhi-hoan-thanh-chuong-trinh-hoc-ky-trong-quan-doi-c52572585.epi,Gia Lai: 100 chiến sĩ 'nhí' hoàn thành chương trình Học kỳ trong quân đội - Báo Gia Lai,"Sáng 23-6, tại Trung tâm Hoạt động Thanh thiếu nhi tỉnh Gia Lai, Tỉnh Đoàn phối hợp với Bộ Chỉ huy Quân sự tỉnh Gia Lai bế mạc chương trình Học kỳ trong quân đội năm 2025 lớp thứ 2 với chủ đề 'Tôi là chiến sĩ'.",Văn hóa & Nghệ thuật,2025-06-23T07:26:00.000Z,Báo Mới,data/images/article_1056_image.png,non-clickbait
article_0293,https://vnexpress.net/my-cong-bo-cach-tien-hanh-chien-dich-bua-dem-nham-vao-iran-4904810.html,Mỹ công bố cách tiến hành chiến dịch 'Búa Đêm' nhằm vào Iran,"Lầu Năm Góc cho biết Mỹ đã huy động 125 máy bay quân sự trong chiến dịch Búa Đêm, thả 14 quả bom xuyên phá hầm xuống căn cứ hạt nhân quan trọng của Iran.",Quốc tế,2025-06-22T22:49:00+07:00,VnExpress,data/images/article_0293_image.png,non-clickbait
article_1156,https://vnexpress.net/trung-nam-group-dau-tu-gan-3-900-ty-dong-xay-khu-cong-nghiep-ca-na-4899080.html,Trung Nam Group đầu tư gần 3.900 tỷ đồng xây khu công nghiệp Cà Ná,"Công ty cổ phần Đầu tư hạ tầng khu công nghiệp Trung Nam Cà Ná, thành viên Trung Nam Group, làm chủ đầu tư khu công nghiệp gần 3.900 tỷ đồng ở Ninh Thuận.",Other,2025-06-16T00:10:00+07:00,VnExpress,data/images/article_1156_image.png,non-clickbait
article_2463,https://baomoi.com/canh-sat-no-gan-10-phat-sung-chi-thien-tran-ap-nhom-quai-xe-manh-dong-c52573430.epi,Cảnh sát nổ gần 10 phát súng chỉ thiên trấn áp nhóm 'quái xế' manh động - Chuyên trang Góc nhìn pháp lý - Tạp chí Người đưa tin,"Cảnh sát truy đuổi nhóm thanh thiếu niên tại Đà Nẵng và nổ súng chỉ thiên để yêu cầu dừng lại nhưng nhóm này vẫn ngoan cố chạy xe vào khu vực sân bay để vứt xe, chui qua cống chạy trốn.",Other,2025-06-23T08:58:00.000Z,Báo Mới,data/images/article_2463_image.png,non-clickbait
article_3105,https://thanhnien.vn/canh-bao-khan-den-hang-trieu-nguoi-dung-capcut-185250623091339797.htm,Cảnh báo khẩn đến hàng triệu người dùng CapCut,Sự 'phản bội' của CapCut: Ứng dụng miễn phí nhưng cái giá phải trả là toàn bộ nội dung của bạn.,Other,2025-06-23T10:12:00+07:00,Thanh Niên,data/images/article_3105_image.png,clickbait
article_1152,https://vnexpress.net/dong-luc-cho-thi-truong-can-ho-cao-cap-hai-phong-4897948.html,Động lực cho thị trường căn hộ cao cấp Hải Phòng,"Hải PhòngThuộc tam giác kinh tế Hà Nội, Quảng Ninh, cảng biển lớn, hạ tầng giao thông đa dạng, dân số tăng sau sáp nhập là động lực cho thị trường căn hộ cao cấp Hải Phòng.",Other,2025-06-17T08:00:00+07:00,VnExpress,data/images/article_1152_image.png,non-clickbait
article_1986,https://vnexpress.net/bi-kip-luyen-rong-ap-dao-phong-ve-4904719.html,'Bí kíp luyện rồng' áp đảo phòng vé,"""Bí kíp luyện rồng"" bản người đóng đứng đầu doanh thu phòng vé suốt hai tuần, thu gần 250 triệu USD toàn cầu.",Other,2025-06-22T13:28:00+07:00,VnExpress,data/images/article_1986_image.png,non-clickbait
article_3647,https://baomoi.com/thanh-hoa-tiep-tuc-chan-chinh-hoat-dong-dau-gia-dat-c52574010.epi,Thanh Hóa tiếp tục chấn chỉnh hoạt động đấu giá đất - Tạp chí VnEconomy,"Trong khi phân khúc đất nền dự án, nhà phố rơi vào cảnh trầm lắng, thì đấu giá đất tại Thanh Hóa lại sôi động bất ngờ. Giá trúng đấu giá liên tục vượt xa giá khởi điểm, khiến không ít người đặt câu hỏi: đây là tín hiệu phục hồi thị trường hay chỉ là chiêu bài của giới đầu cơ...",Other,2025-06-23T09:40:23.000Z,Báo Mới,data/images/article_3647_image.png,non-clickbait
article_1502,https://vietnamnet.vn/my-ban-bo-canh-bao-toan-cau-voi-cong-dan-sau-vu-tan-cong-iran-2414088.html,Mỹ ban bố 'cảnh báo toàn cầu' với công dân sau vụ tấn công Iran,"Bộ Ngoại giao Mỹ đã ban hành cảnh báo an ninh toàn cầu, khuyến cáo các công dân nước này nên thận trọng vì các cuộc biểu tình chống lại lợi ích lẫn người dân Mỹ có thể diễn ra ở nước ngoài.",Quốc tế,2025-06-23T11:01:00+07:00,VietNamNet,data/images/article_1502_image.png,non-clickbait
